case,stiffness,run_idx,q0_mcp_deg,q0_pip_deg,q0_dip_deg,theta_mcp_deg,theta_pip_deg,theta_dip_deg,tip_x_mm,tip_y_mm,tension_N,conv_time_s,saturated
dip,k=0.1184,4,0.0,0.0,-0.6,54.1727,54.1484,54.0732,95.3181,-14.7131,15.9801,1.486,
dip,k=0.1184,5,0.0,0.0,-0.5,54.1744,54.1467,54.0731,95.3191,-14.7145,15.9801,1.3960000000000001,
dip,k=0.1184,6,0.0,0.0,-0.4,54.1768,54.1443,54.0731,95.3204,-14.7164,15.9801,1.291,
dip,k=0.1184,7,0.0,0.0,-0.3,54.1765,54.1403,54.0774,95.3213,-14.7133,15.9801,1.217,
dip,k=0.1184,8,0.0,0.0,-0.2,54.1713,54.1348,54.0881,95.3207,-14.7018,15.9801,1.213,
dip,k=0.1184,9,0.0,0.0,-0.1,54.1659,54.1293,54.099,95.3202,-14.69,15.9801,1.211,
dip,k=0.1184,10,0.0,0.0,0.0,54.1608,54.1237,54.1098,95.3197,-14.6785,15.9801,1.201,
dip,k=0.1184,11,0.0,0.0,0.1,54.1552,54.118,54.121,95.3191,-14.6664,15.9801,1.201,
dip,k=0.1184,12,0.0,0.0,0.2,54.1491,54.1133,54.1318,95.3181,-14.6542,15.9801,1.201,
dip,k=0.1184,13,0.0,0.0,0.3,54.1434,54.1078,54.143,95.3174,-14.642,15.9801,1.201,
dip,k=0.1184,14,0.0,0.0,0.4,54.1368,54.1041,54.1533,95.316,-14.6297,15.9801,1.201,
dip,k=0.1184,15,0.0,0.0,0.5,54.1311,54.0993,54.1639,95.3152,-14.6179,15.9801,1.211,
dip,k=0.1184,16,0.0,0.0,0.6,54.1239,54.097,54.1733,95.3133,-14.6058,15.9801,1.212,
dip,k=0.1184,17,0.0,0.0,0.7,54.1182,54.092,54.184,95.3124,-14.5939,15.9801,1.213,
dip,k=0.1184,18,0.0,0.0,0.8,54.1103,54.0911,54.1928,95.31,-14.5817,15.9801,1.213,
dip,k=0.1184,19,0.0,0.0,0.9,54.1096,54.095,54.1897,95.3088,-14.5833,15.9801,1.356,
dip,k=0.1184,20,0.0,0.0,1.0,54.1082,54.0963,54.1897,95.3081,-14.5822,15.9801,1.449,
all,k=0,0,0.2739,-0.4604,-0.9181,55.1161,54.6022,53.9839,94.7346,-16.6558,0.0,1.201,
all,k=0,1,-0.9669,0.6265,0.8255,53.447,55.0258,55.2294,94.0865,-14.4886,0.0,1.201,
all,k=0,2,0.2133,0.459,0.0872,54.5356,54.7668,54.3998,94.5115,-15.9116,0.0,1.201,
all,k=0,3,0.8701,0.6317,-0.9945,55.2661,55.0131,53.423,94.6782,-17.1578,0.0,1.201,
all,k=0,4,0.7148,-0.9328,0.4593,54.9985,53.9705,54.7332,94.8495,-16.0491,0.0,1.201,
all,k=0,5,-0.6487,0.7264,0.0829,53.8734,55.2338,54.5951,94.1829,-15.2573,0.0,1.201,
all,k=0,6,-0.4006,-0.1546,-0.9434,54.5838,54.9602,54.1582,94.4802,-16.115,0.0,1.201,
all,k=0,7,-0.7514,0.3412,0.2944,53.8627,54.9409,54.8986,94.2485,-15.0406,0.0,1.201,
all,k=0,8,0.2308,-0.2326,0.9944,54.3553,54.2378,55.1091,94.5772,-15.2824,0.0,1.201,
all,k=0,9,0.9617,0.3711,0.3009,54.9926,54.3876,54.322,94.7482,-16.3264,0.0,1.201,
all,k=0,10,0.3769,-0.2222,-0.7298,55.0972,54.6242,53.9808,94.7234,-16.6429,0.0,1.201,
all,k=0,11,0.443,0.0507,-0.3795,54.9804,54.5737,54.1481,94.6993,-16.4357,0.0,1.201,
all,k=0,12,-0.0283,0.779,0.8681,54.0076,54.8004,54.8942,94.33,-15.1571,0.0,1.201,
all,k=0,13,-0.2844,0.1431,-0.3563,54.457,54.8699,54.3753,94.4614,-15.8663,0.0,1.201,
all,k=0,14,0.1886,-0.3242,-0.2168,54.8208,54.4758,54.4056,94.6726,-16.1329,0.0,1.201,
all,k=0,15,0.7805,-0.5457,0.2464,55.0584,54.1295,54.5144,94.8308,-16.2468,0.0,1.201,
all,k=0,16,-0.832,0.6653,0.5742,53.6078,55.0904,55.004,94.127,-14.769,0.0,1.201,
all,k=0,17,-0.5213,0.753,-0.8829,54.2592,55.5187,53.9244,94.2402,-16.0191,0.0,1.201,
all,k=0,18,-0.3278,-0.6994,-0.0993,54.5027,54.4783,54.7213,94.5695,-15.6651,0.0,1.201,
all,k=0,19,0.5926,-0.5387,-0.896,55.3375,54.4975,53.8672,94.8282,-16.9117,0.0,1.201,
all,k=0,20,-0.1909,-0.603,-0.8185,54.7898,54.6912,54.2213,94.6109,-16.2347,0.0,1.201,
all,k=0,21,0.1607,-0.4026,0.344,54.6233,54.2822,54.7967,94.655,-15.7084,0.0,1.201,
all,k=0,22,-0.601,0.8842,-0.2698,53.9701,55.4406,54.2915,94.1654,-15.5412,0.0,1.201,
all,k=0,23,-0.789,0.2582,0.8543,53.6787,54.7114,55.3121,94.2388,-14.6123,0.0,1.201,
all,k=0,24,-0.1192,0.9092,-0.0002,54.1752,55.1889,54.3381,94.2932,-15.6701,0.0,1.201,
all,k=0,25,-0.1495,0.2404,0.9902,54.0656,54.4412,55.1954,94.433,-14.9954,0.0,1.201,
all,k=0,26,0.8979,-0.0799,0.5155,54.9389,54.2167,54.5467,94.7721,-16.1298,0.0,1.201,
all,k=0,27,-0.0052,0.0586,0.5716,54.362,54.4114,54.9288,94.539,-15.4116,0.0,1.201,
all,k=0,28,-0.1707,0.469,0.4223,54.1647,54.7898,54.7478,94.3849,-15.3809,0.0,1.201,
all,k=0,29,0.8641,-0.7701,0.458,55.0495,54.0191,54.6336,94.8543,-16.158,0.0,1.201,
all,k=0,30,0.8548,0.9359,-0.9706,55.1317,55.1981,53.3724,94.5912,-17.0853,0.0,1.201,
all,k=0,31,0.7273,0.9624,0.9144,54.4348,54.6554,54.6121,94.5054,-15.6865,0.0,1.201,
all,k=0,32,-0.7025,0.9453,0.7799,53.5323,55.1653,55.0046,94.0837,-14.7097,0.0,1.201,
all,k=0,33,0.6447,-0.04,-0.5353,55.1863,54.5193,53.9966,94.7765,-16.7029,0.0,1.201,
all,k=0,34,0.6038,0.8471,-0.4677,54.8207,55.0495,53.832,94.533,-16.5253,0.0,1.201,
all,k=0,35,0.0779,-0.1145,0.862,54.3103,54.3074,55.0845,94.5461,-15.2639,0.0,1.201,
all,k=0,36,-0.919,0.464,0.2287,53.732,55.1004,54.8698,94.1669,-14.9582,0.0,1.201,
all,k=0,37,-0.9433,0.4384,-0.968,54.0628,55.4298,54.2097,94.1984,-15.6698,0.0,1.201,
all,k=0,38,0.5159,0.0255,0.8582,54.5572,54.2554,54.8896,94.6398,-15.5924,0.0,1.201,
all,k=0,39,-0.8678,0.6826,-0.8666,54.0262,55.5619,54.1142,94.1544,-15.7064,0.0,1.201,
all,k=0,40,-0.3114,-0.1394,0.9321,54.0627,54.3432,55.2963,94.4545,-14.9236,0.0,1.201,
all,k=0,41,0.1245,-0.4823,-0.5166,54.907,54.5295,54.2658,94.687,-16.297,0.0,1.201,
all,k=0,42,0.7762,-0.5483,-0.7509,55.4312,54.3688,53.9022,94.8884,-16.9624,0.0,1.201,
all,k=0,43,-0.4233,0.1722,0.1082,54.1998,54.7809,54.7215,94.3986,-15.4266,0.0,1.201,
all,k=0,44,0.6194,0.121,-0.4232,55.0866,54.5738,54.0419,94.7324,-16.5927,0.0,1.201,
all,k=0,45,-0.1742,0.6362,0.253,54.163,54.9589,54.5804,94.3443,-15.4945,0.0,1.201,
all,k=0,46,0.9182,-0.2612,0.1052,55.1341,54.2567,54.3114,94.8241,-16.446,0.0,1.201,
all,k=0,47,0.1878,0.6966,-0.7091,54.7044,55.1985,53.7993,94.4599,-16.4556,0.0,1.201,
all,k=0,48,-0.187,0.8199,-0.9139,54.482,55.4742,53.7461,94.3219,-16.3163,0.0,1.201,
all,k=0,49,0.6454,-0.1692,0.6596,54.737,54.2238,54.7414,94.7057,-15.8364,0.0,1.201,
all,k=0,50,-0.9801,-0.2699,-0.8427,54.1941,55.0884,54.4198,94.3236,-15.629,0.0,1.201,
all,k=0,51,0.3052,-0.4523,0.4053,54.7006,54.2108,54.7908,94.697,-15.7736,0.0,1.201,
all,k=0,52,0.8876,-0.7464,0.7296,54.929,54.0121,54.7611,94.8175,-15.9748,0.0,1.201,
all,k=0,53,-0.8811,-0.2385,-0.1405,54.0721,54.8272,54.8028,94.3453,-15.2704,0.0,1.201,
all,k=0,54,-0.0223,0.9529,0.5514,54.0593,55.0199,54.6231,94.2955,-15.3838,0.0,1.201,
all,k=0,55,-0.3823,-0.4603,0.7262,54.1529,54.2979,55.2515,94.4955,-15.0252,0.0,1.201,
all,k=0,56,0.7626,0.0214,-0.3114,55.1738,54.4183,54.1102,94.7973,-16.6153,0.0,1.201,
all,k=0,57,0.9898,-0.3681,-0.6346,55.4999,54.3365,53.8658,94.9172,-17.0422,0.0,1.201,
all,k=0,58,0.7602,0.6247,0.3358,54.7621,54.6122,54.3279,94.6212,-16.1398,0.0,1.201,
all,k=0,59,0.9168,0.8514,0.4965,54.7374,54.6576,54.3073,94.6024,-16.1343,0.0,1.201,
all,k=0,60,0.7214,-0.5057,-0.7175,55.3757,54.3959,53.9307,94.8648,-16.8988,0.0,1.201,
all,k=0,61,0.3401,0.4292,-0.6659,54.8811,54.9557,53.8654,94.5749,-16.5503,0.0,1.201,
all,k=0,62,-0.2089,0.8205,0.1228,54.1219,55.1366,54.4437,94.2883,-15.5559,0.0,1.201,
all,k=0,63,0.1567,-0.6117,0.052,54.7555,54.3057,54.641,94.6923,-15.9198,0.0,1.201,
all,k=0,64,0.0469,-0.8221,0.9639,54.3822,54.0308,55.2893,94.6338,-15.1795,0.0,1.201,
all,k=0,65,0.1428,-0.9872,0.5453,54.6158,54.078,55.0084,94.7004,-15.557,0.0,1.201,
